---,Zidane,Vivi,Dagger,Steiner,Freya,Quina,Eiko,Amarant
1,21,12,14,24,20,18,13,22
2,21,12,14,24,20,18,13,22
3,21,12,14,24,20,18,13,22
4,22,13,15,25,21,19,14,23
5,22,13,15,25,21,19,14,23
6,22,13,15,25,21,19,14,23
7,23,14,16,26,22,20,15,24
8,23,14,16,26,22,20,15,24
9,23,14,16,26,22,20,15,24
10,24,15,17,27,23,21,16,25
11,24,15,17,27,23,21,16,25
12,25,16,18,28,24,22,17,26
13,25,16,18,28,24,22,17,26
14,26,17,19,29,25,23,18,27
15,26,17,19,29,25,23,18,27
16,26,17,19,29,25,23,18,27
17,27,18,20,30,26,24,19,28
18,27,18,20,30,26,24,19,28
19,27,18,20,30,26,24,19,28
20,28,19,21,31,27,25,20,29
21,28,19,21,31,27,25,20,29
22,28,19,21,31,27,25,20,29
23,29,20,22,32,28,26,21,30
24,30,21,23,33,29,27,22,31
25,30,21,23,33,29,27,22,31
26,30,21,23,33,29,27,22,31
27,31,22,24,34,30,28,23,32
28,31,22,24,34,30,28,23,32
29,31,22,24,34,30,28,23,32
30,32,23,25,35,31,29,24,33
31,32,23,25,35,31,29,24,33
32,32,23,25,35,31,29,24,33
33,33,24,26,36,32,30,25,34
34,34,25,27,37,33,31,26,35
35,34,25,27,37,33,31,26,35
36,34,25,27,37,33,31,26,35
37,35,26,28,38,34,32,27,36
38,35,26,28,38,34,32,27,36
39,35,26,28,38,34,32,27,36
40,36,27,29,39,35,33,28,37
41,36,27,29,39,35,33,28,37
42,36,27,29,39,35,33,28,37
43,36,27,29,39,35,33,28,37
44,38,29,31,41,37,35,30,39
45,38,29,31,41,37,35,30,39
46,38,29,31,41,37,35,30,39
47,39,30,32,42,38,36,31,40
48,39,30,32,42,38,36,31,40
49,39,30,32,42,38,36,31,40
50,40,31,33,43,39,37,32,41
51,40,31,33,43,39,37,32,41
52,40,31,33,43,39,37,32,41
53,40,31,33,43,39,37,32,41
54,41,32,34,44,40,38,33,42
55,42,33,35,45,41,39,34,43
56,42,33,35,45,41,39,34,43
57,43,34,36,46,42,40,35,44
58,43,34,36,46,42,40,35,44
59,43,34,36,46,42,40,35,44
60,44,35,37,47,43,41,36,45
61,44,35,37,47,43,41,36,45
62,44,35,37,47,43,41,36,45
63,44,35,37,47,43,41,36,45
64,45,36,38,48,44,42,37,46
65,46,37,39,49,45,43,38,47
66,46,37,39,49,45,43,38,47
67,47,38,40,50,46,44,39,48
68,47,38,40,50,46,44,39,48
69,47,38,40,50,46,44,39,48
70,48,39,41,51,47,45,40,49
71,48,39,41,51,47,45,40,49
72,48,39,41,51,47,45,40,49
73,48,39,41,51,47,45,40,49
74,49,40,42,52,48,46,41,50
75,49,40,42,52,48,46,41,50
76,50,41,43,53,49,47,42,51
77,51,42,44,54,50,48,43,52
78,51,42,44,54,50,48,43,52
79,51,42,44,54,50,48,43,52
80,52,43,45,55,51,49,44,53
81,52,43,45,55,51,49,44,53
82,52,43,45,55,51,49,44,53
83,52,43,45,55,51,49,44,53
84,53,44,46,56,52,50,45,54
85,53,44,46,56,52,50,45,54
86,53,44,46,56,52,50,45,54
87,55,46,48,58,54,52,47,56
88,55,46,48,58,54,52,47,56
89,55,46,48,58,54,52,47,56
90,56,47,49,59,55,53,48,57
91,56,47,49,59,55,53,48,57
92,56,47,49,59,55,53,48,57
93,56,47,49,59,55,53,48,57
94,57,48,50,60,56,54,49,58
95,57,48,50,60,56,54,49,58
96,57,48,50,60,56,54,49,58
97,59,50,52,62,58,56,51,60
98,59,50,52,62,58,56,51,60
99,59,50,52,62,58,56,51,60